Studio ItemNo	BaseStudioItemNo	BL ItemNo	BL ItemKey	LDraw ItemNo	LDD ItemNo	Description	isPerfectForCulling	BLCatalogIndex	BLCatalogSubIndex	EasyModeIndex	IsAssembly?	flexible type	IsDecorated	XPCatalogIndex	XPCatalogSubIndex
-1852	-1852			2350b.dat		crane arm outside narrow 15 studs	o	0	0	0	False		False		
-1129	-1129			10305.dat		minifig helmet with front prongs	o	0	0	0	False		False		
-47666	-47666			6014c00.dat		Wheel 11mm D. x 12mm, Hole Round for Wheels Holder Pin with Black Tire Offset Tread Small Wide (6014a / 6015)	o	0	0	0	False		False		
-11395	-11395			604bc00.dat		Window 1 x 6 x 3 Panorama with Glass	o	0	0	0	False		False		
-47667	-47667			30027ac00.dat		Wheel  8mm D. x 9mm (for Slicks), Hole Round for Wheels Holder Pin with Black Tire Smooth Small Wide Slick (30027a / 30028)	o	0	0	0	False		False		
-44936	-44936			29bc00.dat		Window 1 x 1 x 2 (old type) with Extended Lip, with Glass	o	0	0	0	False		False		
-1665	-1665			15523.dat		minifig head simpsons bart simpson	o	0	0	0	False		False		
-3409	-3409			85947.dat		minifig head alien squidman	o	0	0	0	False		False		
-73509	-73509			3087ac00.dat		Window 1 x 1 x 1 (old type) with Extended Lip and Solid Stud, with Fixed Glass	o	0	0	0	False		False		
-2934	-2934			57901.dat		minifig head nautolan	o	0	0	0	False		False		
-3733	-3733			98384.dat		minifig head robot	o	0	0	0	False		False		
-1114	-1114			10066.dat		minifig hair orc with ears	o	0	0	0	False		False		
-47657	-47657			22969c01.dat		Wheel 62mm D. x 46mm Technic Racing Large, with Black Tire Technic Power Puller (22969 / 32298)	o	0	0	0	False		False		
-56722	-56722			32020c01.dat		Wheel 62.4 x 20, with Black Tire 62.4 x 20 (32020 / 32019)	o	0	0	0	False		False		
-48091	-48091			30190c01.dat		Wheel Tricycle Center Wide with Stub Axles, with Black Tire Offset Tread Small Wide (30190 / 6015)	o	0	0	0	False		False		
-77906	-77906			60592c00.dat		Window 1 x 2 x 2 Flat Front with Trans-Clear Glass	o	0	0	0	False		False		
